ts,price,volume,side
1763510064.607,3117.45,0.01,S
1763510064.607,3117.45,0.01,S
1763510064.602,3117.47,0.05,S
1763510064.602,3117.47,0.05,S
1763510064.595,3117.47,0.05,S
1763510064.037,3117.52,0.01,S
1763510064.037,3117.52,0.01,S
1763510064.027,3117.55,0.01,S
1763510064.027,3117.55,0.02,S
1763510064.017,3117.56,0.01,S
1763510064.014,3117.6,0.01,S
1763510064.014,3117.6,0.01,S
1763510064.014,3117.6,0.01,S
1763510064.011,3117.61,0.01,S
1763510064.011,3117.61,0.01,S
1763510064.011,3117.61,0.01,S
1763510064.007,3117.62,0.01,S
1763510064.007,3117.62,0.01,S
1763510063.993,3117.66,0.01,S
1763510063.988,3117.7,0.02,S
1763510063.988,3117.73,0.04,S
1763510063.988,3117.73,0.01,S
1763510063.988,3117.73,0.01,S
1763510063.988,3117.73,17.1,S
1763510063.986,3117.73,5.49,S
1763510063.828,3117.74,0.01,B
1763510063.315,3117.74,0.02,B
1763510062.03,3117.74,0.16,B
1763510061.755,3117.73,0.03,S
1763510061.609,3117.74,0.03,B
1763510061.331,3117.77,0.02,S
1763510061.331,3117.79,0.01,S
1763510061.331,3117.83,0.01,S
1763510061.331,3117.83,0.01,S
1763510061.327,3117.9,0.01,S
1763510061.327,3117.92,0.01,S
1763510061.327,3117.93,0.01,S
1763510061.327,3117.93,0.01,S
1763510060.89,3117.94,1.82,B
1763510060.89,3117.94,0.01,B
1763510059.259,3117.9,0.01,B
1763510059.259,3117.85,0.07,B
1763510059.259,3117.74,0.01,B
1763510059.259,3117.74,0.01,B
1763510058.225,3117.74,0.01,B
1763510058.194,3117.77,0.02,S
1763510058.194,3117.79,0.01,S
1763510058.194,3117.8,0.01,S
1763510058.186,3117.81,0.04,S
1763510058.186,3117.83,0.02,S
1763510058.186,3117.83,0.01,S
1763510058.186,3117.83,0.01,S
1763510058.186,3117.84,0.1,S
1763510058.186,3117.84,0.01,S
1763510057.36,3117.84,0.15,S
1763510057.36,3117.84,0.01,S
1763510057.067,3117.86,0.02,S
1763510057.067,3117.89,0.02,S
1763510057.067,3117.9,0.01,S
1763510057.067,3117.9,0.01,S
1763510057.057,3117.9,0.02,S
1763510057.057,3117.9,0.04,S
1763510057.057,3117.9,0.01,S
1763510057.047,3117.95,0.01,S
1763510057.027,3117.99,0.01,S
1763510057.027,3117.99,0.01,S
1763510057.027,3118.0,0.01,S
1763510057.027,3118.05,0.01,S
1763510057.027,3118.06,0.01,S
1763510057.027,3118.06,0.01,S
1763510057.019,3118.19,0.01,S
1763510057.019,3118.19,0.01,S
1763510057.017,3118.2,0.01,S
1763510057.017,3118.26,0.01,S
1763510057.017,3118.26,0.53,S
1763510057.016,3118.26,0.66,S
1763510057.016,3118.26,0.04,S
1763510056.94,3118.26,0.37,S
1763510056.94,3118.26,0.01,S
1763510056.054,3118.27,1.54,B
1763510055.815,3118.26,0.01,S
1763510054.446,3118.26,0.02,S
1763510054.446,3118.26,0.02,S
1763510054.446,3118.26,0.02,S
1763510054.249,3118.26,0.02,S
1763510054.248,3118.26,0.01,S
1763510054.248,3118.26,0.01,S
1763510053.887,3118.27,0.06,B
1763510051.195,3118.27,0.78,B
1763510051.195,3118.25,0.01,B
1763510051.195,3118.24,0.01,B
1763510051.195,3118.2,0.01,B
1763510051.195,3118.19,0.02,B
1763510051.195,3118.19,0.02,B
1763510051.195,3118.17,0.03,B
1763510051.195,3118.16,0.49,B
1763510051.195,3118.14,0.12,B
1763510051.195,3118.14,0.01,B
1763510051.195,3118.14,1.0,B
1763510050.857,3118.13,0.01,B
1763510050.857,3118.13,0.01,B
1763510050.857,3118.13,0.01,B
1763510050.846,3118.08,0.01,B
1763510050.846,3118.07,0.02,B
1763510050.846,3118.05,0.01,B
1763510050.837,3118.0,0.01,B
1763510050.837,3118.0,0.01,B
1763510050.837,3118.0,0.01,B
1763510050.837,3118.0,0.01,B
1763510049.298,3117.99,0.16,S
1763510048.798,3118.0,2.02,B
1763510047.757,3117.99,0.01,B
1763510047.757,3117.99,0.11,B
1763510047.757,3117.99,0.01,B
1763510047.757,3117.99,0.01,B
1763510047.393,3117.99,1.16,B
